country,gender_sentiment,tweet_count
hong kong,160.42038907686742,697711
australia,41.00464371975303,113728
india,34.763303325869956,604627
philippines,-7.626444029801995,138059
new zealand,-14.761184975034258,255159
thailand,-24.446219002312684,53297
singapore,-35.770105748897976,50485
indonesia,-50.131597599472826,171160
malaysia,-106.51082337574684,172380
sri lanka,-127.34298958216692,84650
